Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,17-Oct-18,352.3,356.9,364.25,343.6,345,345.35,356.97,4643833,1657731732,55332,1402368,30.2
GAIL,EQ,19-Oct-18,345.35,344,358.75,342.1,343.8,344.3,350.72,4684649,1643007372,80706,1583253,33.8
GAIL,EQ,22-Oct-18,344.3,347.65,353.25,340.9,342.25,342.3,346.78,3537296,1226675888,70851,1675300,47.36
GAIL,EQ,23-Oct-18,342.3,340.9,344.7,334.5,341.3,340,339.11,3566189,1209317055,66836,1935425,54.27
GAIL,EQ,24-Oct-18,340,344.1,347.5,333.85,342.9,342,339.61,8532953,2897905808,93060,4925484,57.72
GAIL,EQ,25-Oct-18,342,340.95,345,336,342,339.75,339.85,23067001,7839240414,110836,17132144,74.27
GAIL,EQ,26-Oct-18,339.75,340,345.3,339.4,341.1,341.35,342.16,4476485,1531690034,69218,2092449,46.74
GAIL,EQ,29-Oct-18,341.35,343.7,353.8,339.7,352.7,352.1,346.94,6454647,2239381643,148257,4032421,62.47
GAIL,EQ,30-Oct-18,352.1,354,369,353.25,360.25,360.25,362.38,7176942,2600753518,97920,3557724,49.57
GAIL,EQ,31-Oct-18,360.25,362.85,376.4,358.25,375.05,374.25,366.45,7219639,2645616977,152512,4582208,63.47
GAIL,EQ,01-Nov-18,374.25,375.35,375.6,364.1,366.95,367.85,368.16,2852011,1050007128,70881,1538275,53.94
GAIL,EQ,02-Nov-18,367.85,369.2,373.4,363.95,372.3,369.75,368.92,6035578,2226638150,78840,4320120,71.58
GAIL,EQ,05-Nov-18,369.75,371.9,377.35,364.2,372,372,372.34,6864390,2555911380,124785,1866647,27.19
GAIL,EQ,06-Nov-18,372,376.5,382,370.75,374.9,375.15,376.46,7403410,2787104295,120442,4333401,58.53
GAIL,EQ,07-Nov-18,375.15,378,378.85,373.85,375.3,375.15,375.79,199976,75149249.25,2914,47948,23.98
